z1 z2 a1 sigma_a1_m sigma_a1_p a2 sigma_a2_m sigma_a2_p a3 sigma_a3_m sigma_a3_p a4 sigma_a4_m sigma_a4_p a5 sigma_a5_m sigma_a5_p a6 sigma_a6_m sigma_a6_p a7 sigma_a7_m sigma_a7_p a8 sigma_a8_m sigma_a8_p a9 sigma_a9_m sigma_a9_p a10 sigma_a10_m sigma_a10_p a11 sigma_a11_m sigma_a11_p a12 sigma_a12_m sigma_a12_p a13 sigma_a13_m sigma_a13_p a14 sigma_a14_m sigma_a14_p a15 sigma_a15_m sigma_a15_p a16 sigma_a16_m sigma_a16_p
-1.315780e+03 -1.210520e+03 2.492003e-04 5.883809e-05 4.558313e-05 1.964607e-04 2.513509e-05 4.999112e-05 8.458075e-05 6.683857e-05 5.914301e-05 9.092277e-05 5.471989e-05 4.069984e-05 9.743519e-05 5.931780e-05 5.073419e-05 8.152442e-05 2.268867e-05 4.040389e-05 3.061234e-05 9.688656e-06 1.111507e-05 1.849753e-05 6.795482e-06 2.388100e-05 6.728194e-06 6.530037e-06 1.822182e-05 1.836423e-05 1.176109e-05 1.018527e-05 2.075717e-05 4.208824e-06 4.205464e-06 4.199486e-05 1.236849e-05 3.317419e-05 5.654580e-05 3.868462e-05 3.768115e-05 1.378482e-04 3.701352e-05 3.123122e-05 3.451420e-04 5.220413e-05 5.188750e-05 8.783764e-04 4.881891e-05 5.291151e-05
-1.210520e+03 -1.105260e+03 2.624811e-04 8.986644e-05 1.097698e-04 1.706075e-04 5.210945e-05 7.440303e-05 8.641975e-05 2.686084e-05 9.485025e-05 9.036320e-05 2.061279e-05 7.848671e-05 5.131123e-05 2.527644e-05 4.737085e-05 3.719795e-05 1.040542e-05 2.886659e-05 3.182740e-05 1.692575e-05 3.113582e-05 3.924470e-05 1.888912e-05 5.129621e-05 1.298122e-05 3.680347e-06 5.320575e-06 3.003581e-05 1.294225e-05 2.797824e-05 2.273357e-05 6.497753e-06 2.799692e-05 4.516582e-05 9.489788e-06 1.389730e-05 9.777650e-05 4.457718e-05 3.097948e-05 9.717608e-05 3.059036e-05 7.856266e-05 3.866357e-04 4.972048e-05 4.717307e-05 1.048423e-03 4.451991e-05 4.883709e-05
-1.105260e+03 -1.000000e+03 1.920147e-04 1.115909e-04 1.179851e-04 1.542822e-04 7.947892e-05 9.524207e-05 1.268424e-04 7.492770e-05 8.631439e-05 3.404319e-05 1.262070e-05 3.412194e-05 5.143629e-05 1.580294e-05 2.909517e-05 4.435064e-05 1.241069e-05 1.996084e-05 3.366405e-05 2.701717e-05 3.797189e-05 2.190569e-05 1.604013e-05 1.654317e-05 2.032047e-05 8.623062e-06 3.462371e-05 3.904176e-05 1.339635e-05 1.526634e-05 4.950597e-05 2.205776e-05 2.624165e-05 4.737632e-05 1.897274e-05 2.609179e-05 9.995296e-05 4.118911e-05 3.484363e-05 1.381778e-04 4.233268e-05 5.885420e-05 4.068482e-04 4.309890e-05 4.632060e-05 1.302476e-03 5.724236e-05 5.386226e-05
-1.000000e+03 -8.947400e+02 2.024832e-04 1.679593e-04 7.486317e-05 2.604736e-04 1.252277e-04 1.032998e-04 1.790829e-04 3.560600e-05 8.220143e-05 1.730372e-04 8.980484e-05 8.306107e-05 9.442593e-05 7.018660e-05 8.759437e-05 5.897993e-05 2.004887e-05 4.508325e-05 4.718208e-05 9.024949e-06 1.963385e-05 2.277205e-05 8.061303e-06 3.068615e-05 2.443516e-05 9.752537e-06 2.124631e-05 3.389475e-05 1.464536e-05 1.272763e-05 8.837309e-05 2.292335e-05 3.149707e-05 7.295386e-05 2.346878e-05 3.104893e-05 1.575341e-04 3.548819e-05 3.262488e-05 2.533010e-04 5.344173e-05 5.913618e-05 6.838250e-04 5.935604e-05 6.420258e-05 1.410783e-03 5.901528e-05 4.952857e-05
-8.947400e+02 -7.894700e+02 2.487041e-04 8.465926e-05 8.089991e-05 1.864720e-04 8.691721e-05 9.689200e-05 1.936978e-04 6.098312e-05 3.539536e-05 8.965999e-05 6.480500e-05 1.148613e-04 8.716848e-05 4.026087e-05 4.724002e-05 1.058258e-04 3.090746e-05 5.568598e-05 7.379767e-05 2.276045e-05 2.659638e-05 3.652882e-05 1.846795e-05 4.159488e-05 2.511412e-05 1.840433e-05 1.637865e-05 5.743893e-05 1.554248e-05 1.620920e-05 2.369037e-05 1.190512e-05 2.917514e-05 1.070178e-04 1.682903e-05 2.747092e-05 2.117720e-04 6.032763e-05 4.088958e-05 4.997893e-04 5.634838e-05 7.921164e-05 8.709653e-04 6.507584e-05 6.461383e-05 1.856010e-03 6.131853e-05 6.366079e-05
-7.894700e+02 -6.842100e+02 1.316399e-04 5.019801e-05 1.032146e-04 1.831536e-04 4.398504e-05 6.174121e-05 8.202468e-05 5.391201e-05 8.891061e-05 6.998000e-05 2.672232e-05 5.667565e-05 8.854031e-05 1.893137e-05 5.414919e-05 5.111082e-05 4.290446e-05 2.238981e-05 7.338025e-05 3.451406e-05 2.725844e-05 5.857355e-05 2.803885e-05 4.059181e-05 4.489540e-05 2.516920e-05 9.315946e-06 5.180687e-05 1.311118e-05 2.843599e-05 1.450647e-04 4.332927e-05 2.957211e-05 1.455591e-04 4.683231e-05 3.248073e-05 3.983137e-04 5.917567e-05 5.284530e-05 6.162717e-04 8.093468e-05 7.687482e-05 1.147300e-03 6.291671e-05 7.461693e-05 2.418339e-03 6.865685e-05 7.319067e-05
-6.842100e+02 -5.789500e+02 3.339042e-04 1.142642e-04 9.012983e-05 1.580414e-04 4.870603e-05 8.877542e-05 1.558329e-04 6.931742e-05 7.778187e-05 8.274771e-05 2.561874e-05 6.239513e-05 7.489018e-05 2.136057e-05 4.393698e-05 9.020945e-05 2.002112e-05 3.378878e-05 1.271246e-04 6.463647e-05 7.645714e-05 7.512216e-05 3.983869e-05 7.168912e-05 3.239191e-05 9.234357e-06 1.795005e-05 6.623527e-05 1.794055e-05 2.523242e-05 1.010422e-04 2.571517e-05 3.128897e-05 2.666337e-04 4.048349e-05 3.911926e-05 9.292707e-04 6.557066e-05 6.128015e-05 1.145594e-03 8.492508e-05 8.076009e-05 1.586911e-03 6.903902e-05 8.452455e-05 2.872616e-03 7.020449e-05 8.115146e-05
-5.789500e+02 -4.736800e+02 6.772949e-04 1.327145e-04 1.253381e-04 1.621177e-04 3.282596e-05 9.552350e-05 1.434207e-04 8.645832e-05 8.682452e-05 1.534257e-04 4.649942e-05 6.941623e-05 9.957151e-05 4.253226e-05 1.079813e-04 7.399184e-05 2.551385e-05 5.117061e-05 3.311796e-05 1.018359e-05 1.686484e-05 7.500866e-05 1.684556e-05 1.648981e-05 3.011542e-05 9.108286e-06 2.561051e-05 2.660370e-04 5.012111e-05 4.234636e-05 2.424952e-04 3.383833e-05 5.771140e-05 4.830446e-04 5.711688e-05 5.235418e-05 2.552367e-03 1.039431e-04 8.939623e-05 2.323649e-03 1.109531e-04 1.178569e-04 2.474920e-03 9.116344e-05 8.558594e-05 4.074439e-03 7.950970e-05 8.984072e-05
-4.736800e+02 -3.684200e+02 4.970048e-04 1.168546e-04 1.234722e-04 1.835067e-04 1.051709e-04 7.216581e-05 1.228510e-04 3.297897e-05 9.536416e-05 1.090282e-04 2.767113e-05 1.384088e-04 7.761059e-05 5.543626e-05 1.103229e-04 1.219481e-04 2.711935e-05 4.277802e-05 1.187491e-04 6.316094e-05 8.518135e-05 1.055057e-04 2.971746e-05 3.143235e-05 1.800940e-04 4.258765e-05 3.831900e-05 2.481876e-04 6.579660e-05 6.766898e-05 4.856833e-04 8.001345e-05 7.500252e-05 1.100657e-03 8.303165e-05 8.726998e-05 5.325782e-03 1.496716e-04 1.407750e-04 3.289160e-03 1.281913e-04 1.219359e-04 3.734865e-03 1.147966e-04 1.001125e-04 4.926439e-03 9.424292e-05 9.194978e-05
-3.684200e+02 -2.631600e+02 7.936509e-04 1.174473e-04 1.187732e-04 2.290803e-04 6.644465e-05 6.484663e-05 1.852215e-04 1.365622e-04 6.708482e-05 1.491307e-04 1.101204e-04 4.741268e-05 2.087107e-04 6.973121e-05 9.362652e-05 1.999940e-04 4.201852e-05 5.314667e-05 1.700887e-04 4.676156e-05 9.794563e-05 1.124148e-04 3.693029e-05 9.442479e-05 3.016382e-04 5.735703e-05 5.666182e-05 4.861783e-04 7.462656e-05 7.631534e-05 1.002394e-03 7.002834e-05 8.715550e-05 1.977884e-03 1.150756e-04 9.492414e-05 7.469914e-03 1.646890e-04 1.501618e-04 4.352846e-03 1.520561e-04 1.397744e-04 4.716716e-03 1.137818e-04 1.089597e-04 6.103681e-03 1.081947e-04 1.055326e-04
